order_id,order_date,product_id,quantity,channel
ST00169,2025-06-29,1009,1,Store
ST00170,2025-06-08,1007,1,Store
ST00171,2025-06-04,1004,2,Store
ST00172,2025-06-28,1001,1,Store
ST00173,2025-06-16,1002,3,Store
ST00174,2025-06-04,1002,2,Store
ST00175,2025-06-11,1004,3,Store
ST00176,2025-06-09,1006,4,Store
ST00177,2025-06-09,1001,3,Store
ST00178,2025-06-23,1005,1,Store
ST00179,2025-06-25,1006,3,Store
ST00180,2025-06-16,1010,5,Store
ST00181,2025-06-24,1005,5,Store
ST00182,2025-06-01,1001,4,Store
ST00183,2025-06-25,1007,5,Store
ST00184,2025-06-16,1002,3,Store
ST00185,2025-06-19,1001,5,Store
ST00186,2025-06-19,1004,1,Store
ST00187,2025-06-14,1005,2,Store
ST00188,2025-06-07,1001,5,Store
ST00189,2025-06-01,1005,1,Store
ST00190,2025-06-04,1006,4,Store
ST00191,2025-06-16,1008,2,Store
ST00192,2025-06-27,1010,3,Store
ST00193,2025-06-19,1009,3,Store
ST00194,2025-06-27,1003,3,Store
ST00195,2025-06-16,1004,2,Store
ST00196,2025-06-21,1003,1,Store
ST00197,2025-06-26,1002,4,Store
ST00198,2025-06-21,1009,1,Store
ST00199,2025-06-04,1006,3,Store
ST00200,2025-06-29,1007,4,Store
ST00201,2025-06-29,1002,4,Store
ST00202,2025-06-07,1001,3,Store
ST00203,2025-06-14,1005,3,Store
ST00204,2025-06-06,1009,5,Store
ST00205,2025-06-15,1007,2,Store
ST00206,2025-06-20,1003,5,Store
ST00207,2025-06-12,1010,1,Store
ST00208,2025-06-17,1010,3,Store
ST00209,2025-06-22,1003,4,Store
ST00210,2025-06-06,1009,3,Store
ST00211,2025-06-23,1008,4,Store
ST00212,2025-06-08,1005,5,Store
ST00213,2025-06-15,1003,3,Store
ST00214,2025-06-07,1004,5,Store
ST00215,2025-06-25,1005,3,Store
ST00216,2025-06-24,1010,2,Store
ST00217,2025-06-24,1003,2,Store
ST00218,2025-06-17,1006,5,Store
ST00219,2025-06-08,1006,2,Store
ST00220,2025-06-09,1006,2,Store
ST00221,2025-06-22,1002,2,Store
ST00222,2025-06-13,1002,2,Store
ST00223,2025-06-26,1003,2,Store
ST00224,2025-06-14,1005,3,Store
ST00225,2025-06-04,1005,2,Store
ST00226,2025-06-07,1002,3,Store
ST00227,2025-06-02,1007,4,Store
ST00228,2025-06-28,1001,4,Store
ST00229,2025-06-17,1007,2,Store
ST00230,2025-06-01,1005,4,Store
ST00231,2025-06-20,1003,3,Store
ST00232,2025-06-24,1007,1,Store
ST00233,2025-06-23,1004,4,Store
ST00234,2025-06-24,1010,5,Store
ST00235,2025-06-22,1007,2,Store
ST00236,2025-06-22,1010,2,Store
ST00237,2025-06-15,1003,1,Store
ST00238,2025-06-09,1007,3,Store
ST00239,2025-06-08,1002,4,Store
ST00240,2025-06-09,1007,2,Store
ST00241,2025-06-15,1007,4,Store
ST00242,2025-06-28,1001,5,Store
ST00243,2025-06-22,1007,5,Store
ST00244,2025-06-25,1003,3,Store
ST00245,2025-06-27,1001,4,Store
ST00246,2025-06-02,1008,1,Store
ST00247,2025-06-07,1005,5,Store
ST00248,2025-06-17,1003,2,Store
ST00249,2025-06-28,1006,1,Store
ST00250,2025-06-18,1010,4,Store
ST00251,2025-06-17,1004,4,Store
ST00252,2025-06-17,1001,3,Store
ST00253,2025-06-24,1006,4,Store
ST00254,2025-06-22,1008,2,Store
ST00255,2025-06-17,1003,4,Store
ST00256,2025-06-12,1002,5,Store
ST00257,2025-06-09,1001,3,Store
ST00258,2025-06-02,1007,4,Store
ST00259,2025-06-14,1001,1,Store
ST00260,2025-06-19,1007,3,Store
ST00261,2025-06-08,1005,1,Store
ST00262,2025-06-17,1005,4,Store
ST00263,2025-06-15,1004,4,Store
ST00264,2025-06-05,1004,2,Store
ST00265,2025-06-16,1002,2,Store
ST00266,2025-06-27,1009,2,Store
ST00267,2025-06-22,1003,3,Store
ST00268,2025-06-10,1007,4,Store
ST00269,2025-06-25,1009,2,Store
ST00270,2025-06-26,1008,3,Store
ST00271,2025-06-23,1004,3,Store
ST00272,2025-06-14,1007,3,Store
ST00273,2025-06-01,1003,4,Store
ST00274,2025-06-08,1005,3,Store
ST00275,2025-06-16,1005,3,Store
ST00276,2025-06-20,1008,4,Store
ST00277,2025-06-05,1002,3,Store
ST00278,2025-06-02,1005,4,Store
ST00279,2025-06-29,1002,5,Store
ST00280,2025-06-17,1006,2,Store
ST00281,2025-06-01,1006,5,Store
ST00282,2025-06-03,1001,2,Store
ST00283,2025-06-20,1005,3,Store
ST00284,2025-06-05,1002,5,Store
ST00285,2025-06-25,1004,2,Store
ST00286,2025-06-26,1008,3,Store
ST00287,2025-06-29,1003,2,Store
ST00288,2025-06-06,1007,5,Store
ST00289,2025-06-26,1010,5,Store
ST00290,2025-06-26,1002,5,Store
ST00291,2025-06-16,1005,2,Store
ST00292,2025-06-03,1004,5,Store
ST00293,2025-06-18,1008,1,Store
ST00294,2025-06-14,1002,3,Store
ST00295,2025-06-16,1004,2,Store
ST00296,2025-06-02,1008,5,Store
ST00297,2025-06-29,1008,4,Store
ST00298,2025-06-08,1003,4,Store
ST00299,2025-06-18,1008,2,Store
ST00300,2025-06-06,1010,1,Store
ST00301,2025-06-23,1006,4,Store
ST00302,2025-06-22,1010,4,Store
ST00303,2025-06-12,1005,4,Store
ST00304,2025-06-22,1007,4,Store
ST00305,2025-06-21,1002,2,Store
ST00306,2025-06-01,1006,1,Store
ST00307,2025-06-22,1010,1,Store
ST00308,2025-06-17,1006,1,Store
ST00309,2025-06-25,1008,4,Store
ST00310,2025-06-07,1003,1,Store
ST00311,2025-06-11,1007,2,Store
ST00312,2025-06-11,1002,3,Store
ST00313,2025-06-18,1008,5,Store
ST00314,2025-06-14,1004,3,Store
ST00315,2025-06-09,1006,4,Store
ST00316,2025-06-27,1009,1,Store
ST00317,2025-06-12,1005,3,Store
ST00318,2025-06-11,1008,4,Store
ST00319,2025-06-28,1009,3,Store
ST00320,2025-06-07,1009,3,Store
ST00321,2025-06-11,1008,1,Store
ST00322,2025-06-23,1004,3,Store
ST00323,2025-06-19,1005,2,Store
ST00324,2025-06-13,1002,1,Store
ST00325,2025-06-18,1009,4,Store
ST00326,2025-06-13,1010,1,Store
ST00327,2025-06-01,1005,1,Store
ST00328,2025-06-27,1001,2,Store
ST00329,2025-06-25,1008,5,Store
ST00330,2025-06-30,1001,5,Store
ST00331,2025-06-13,1009,5,Store
ST00332,2025-06-21,1010,2,Store
ST00333,2025-06-07,1010,1,Store
ST00334,2025-06-21,1001,4,Store
ST00335,2025-06-22,1003,1,Store
ST00336,2025-06-14,1003,1,Store
ST00337,2025-06-12,1002,1,Store
ST00338,2025-06-18,1003,3,Store
ST00339,2025-06-06,1005,3,Store
ST00340,2025-06-11,1007,1,Store
ST00341,2025-06-19,1001,4,Store
ST00342,2025-06-16,1010,1,Store
ST00343,2025-06-02,1010,5,Store
ST00344,2025-06-19,1002,4,Store
ST00345,2025-06-03,1007,4,Store
ST00346,2025-06-20,1001,4,Store
ST00347,2025-06-16,1010,2,Store
ST00348,2025-06-04,1007,5,Store
ST00349,2025-06-07,1002,4,Store
ST00350,2025-06-14,1003,1,Store
ST00351,2025-06-22,1001,1,Store
ST00352,2025-06-07,1002,1,Store
ST00353,2025-06-16,1002,2,Store
ST00354,2025-06-24,1001,3,Store
ST00355,2025-06-15,1010,2,Store
ST00356,2025-06-12,1003,1,Store
ST00357,2025-06-10,1003,1,Store
ST00358,2025-06-15,1009,4,Store
ST00359,2025-06-23,1005,1,Store
ST00360,2025-06-02,1001,1,Store
ST00361,2025-06-03,1001,5,Store
ST00362,2025-06-10,1007,3,Store
ST00363,2025-06-28,1010,2,Store
ST00364,2025-06-02,1008,5,Store
ST00365,2025-06-19,1006,3,Store
ST00366,2025-06-22,1008,4,Store
ST00367,2025-06-26,1003,2,Store
ST00368,2025-06-21,1002,3,Store
ST00369,2025-06-16,1003,4,Store
ST00370,2025-06-09,1007,4,Store
ST00371,2025-06-10,1010,3,Store
ST00372,2025-06-20,1005,1,Store
ST00373,2025-06-28,1010,3,Store
ST00374,2025-06-27,1010,1,Store
ST00375,2025-06-27,1003,5,Store
ST00376,2025-06-14,1005,5,Store
ST00377,2025-06-13,1004,4,Store
ST00378,2025-06-25,1007,5,Store
ST00379,2025-06-10,1004,4,Store
ST00380,2025-06-09,1001,3,Store
ST00381,2025-06-06,1005,4,Store
ST00382,2025-06-10,1010,1,Store
ST00383,2025-06-05,1003,5,Store
ST00384,2025-06-22,1005,5,Store
ST00385,2025-06-18,1008,3,Store
ST00386,2025-06-18,1002,5,Store
ST00387,2025-06-07,1008,4,Store
ST00388,2025-06-20,1004,3,Store
ST00389,2025-06-15,1001,4,Store
ST00390,2025-06-19,1004,3,Store
ST00391,2025-06-15,1001,4,Store
ST00392,2025-06-18,1009,1,Store
ST00393,2025-06-08,1006,1,Store
ST00394,2025-06-17,1007,5,Store
ST00395,2025-06-11,1005,5,Store
ST00396,2025-06-19,1008,5,Store
ST00397,2025-06-07,1004,2,Store
ST00398,2025-06-06,1004,1,Store
ST00399,2025-06-19,1005,3,Store
ST00400,2025-06-13,1010,3,Store
